system   D            wsystem.c:583  maybe_parent_dir                 [   0.00132] Also searching C:\Users\Maroofshahani\Desktop\AllegroProj\
display  D   display_settings.c:191  debug_display_settings           [   0.08784] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08791] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.08795] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08802] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.08807] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08813] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08829] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08836] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08841] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08848] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08852] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08859] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08864] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08870] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.08876] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08882] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.08887] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08893] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.08898] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08904] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.08909] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08916] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.08921] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08927] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08932] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08938] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08943] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08949] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08954] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08960] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08965] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08972] Score is : 717
